date,percent,percentYear,index_value,interest_rate,event_name,category,impact
2026-01-01,-0.3,1.8,103.3,4.25,,,
2025-12-01,0.0,2.6,103.6,4.25,,,
2025-11-01,-0.5,2.4,103.6,4.5,,,
2025-10-01,0.5,2.5,104.1,4.5,,,
2025-09-01,-0.6,2.5,103.6,4.5,,,
2025-08-01,0.7,2.9,104.2,4.5,,,
2025-07-01,0.4,3.1,103.5,4.5,,,
2025-06-01,0.3,3.3,103.1,4.5,,,
2025-05-01,-0.3,3.1,102.8,4.5,,,
2025-04-01,1.1,3.6,103.1,4.5,,,
2025-03-01,0.5,3.3,102.0,4.5,,,
2025-02-01,0.0,3.4,101.5,4.5,,,
2025-01-01,0.6,3.8,101.5,4.5,,,
2024-12-01,-0.3,3.2,108.4,4.5,,,
2024-11-01,-0.4,3.4,108.7,4.5,,,
2024-10-01,0.5,3.5,109.1,4.5,,,
2024-09-01,-0.2,3.5,108.6,4.5,,,
2024-08-01,0.9,3.6,108.8,4.5,,,
2024-07-01,0.6,3.2,107.8,4.5,,,
2024-06-01,0.1,2.9,107.2,4.5,,,
2024-05-01,0.2,2.8,107.1,4.5,,,
2024-04-01,0.8,2.8,106.9,4.5,,,
2024-03-01,0.6,2.7,106.0,4.5,,,
2024-02-01,0.4,2.5,105.4,4.5,,,
2024-01-01,0.0,2.6,105.0,4.75,,,
2023-12-01,-0.1,3.0,105.0,4.75,,,
2023-11-01,-0.3,3.3,105.1,4.75,,,
2023-10-01,0.5,3.7,105.4,4.75,פרוץ מלחמת חרבות ברזל,ביטחוני,5.0
2023-09-01,-0.1,3.8,104.9,4.75,,,
2023-08-01,0.5,4.1,105.0,4.75,,,
2023-07-01,0.3,3.3,104.5,4.75,,,
2023-06-01,0.0,4.2,104.2,4.75,,,
2023-05-01,0.2,4.6,104.2,4.5,,,
2023-04-01,0.8,5.0,104.0,4.25,,,
2023-03-01,0.4,5.0,103.2,4.25,,,
2023-02-01,0.5,5.2,102.8,3.75,,,
2023-01-01,0.3,5.4,102.3,3.25,המשבר הפוליטי והמחאה (רפורמה משפטית),פוליטי,4.0
2022-12-01,0.3,5.3,108.0,3.25,,,
2022-11-01,0.1,5.3,107.7,2.75,,,
2022-10-01,0.6,5.1,107.6,2.0,,,
2022-09-01,0.2,4.6,107.0,2.0,,,
2022-08-01,-0.3,4.6,106.8,1.25,,,
2022-07-01,1.1,5.2,107.1,0.75,,,
2022-06-01,0.4,4.4,105.9,0.75,,,
2022-05-01,0.6,4.1,105.5,0.35,,,
2022-04-01,0.8,4.0,104.9,0.1,תחילת רצף העלאות ריבית,כלכלי,5.0
2022-03-01,0.6,3.5,104.1,0.1,,,
2022-02-01,0.7,3.5,103.5,0.1,,,
2022-01-01,0.2,3.1,102.8,0.1,,,
2021-12-01,0.3,2.8,102.6,0.1,,,
2021-11-01,-0.1,2.4,102.3,0.1,,,
2021-10-01,0.1,2.3,102.4,0.1,,,
2021-09-01,0.2,2.5,102.3,0.1,,,
2021-08-01,0.3,2.2,102.1,0.1,השקת תוכנית מחיר מטרה,ממשלתי,3.0
2021-07-01,0.4,1.9,101.8,0.1,,,
2021-06-01,0.1,1.7,101.4,0.1,,,
2021-05-01,0.4,1.5,101.3,0.1,,,
2021-04-01,0.3,0.8,100.9,0.1,,,
